major_description,minor_description,item,description,size_,ext_description,Vendor SKU
Decking-Composite,Trex Decking,mn010616sg64,Trex Select-GRV Millstone 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,mn010616ss64,Trex Select-SQ Millstone 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,mn010620sg64,Trex Select-GRV Millstone 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,mn010620ss64,Trex Select-SQ Millstone 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,mn010812ss60,Trex Select-Riser Millstone 12',1x8-12',Trex,
Decking-Composite,Trex Decking,mn011212ss40,Trex Select-Facia Millstone 12',1x12-12',Trex,
Decking-Composite,Trex Decking,nstrex,Non-Stock Trex Decking,,ONLY USE IF NO SKU ALREADY,
Decking-Composite,Trex Decking,oc010612sg64,Trex Singature-GRV Ocracoke 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,oc010616sg64,Trex Singature-GRV Ocracoke 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,oc010616ss64,Trex Singature-SQ Ocracoke 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,oc010620sg64,Trex Singature-GRV Ocracoke 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,oc010620ss64,Trex Singature-SQ Ocracoke 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,oc010812ss60,Trex Singature-Riser Ocracoke 12',1x8-12',Trex,
Decking-Composite,Trex Decking,oc011212ss40,Trex Singature-Facia Ocracoke 12',1x12-12',Trex,
Decking-Composite,Trex Decking,pb010612eg64,Trex Enhance-GRV Pebble Beach 12',1x5.5-12',,
Decking-Composite,Trex Decking,pb010616eg64,Trex Enhance-GRV Pebble Beach 16',1x5.5-16',,
Decking-Composite,Trex Decking,pb010616es64,Trex Enhance-SQ Pebble Beach 16',1x5.5-16',,
Decking-Composite,Trex Decking,pb010620eg64,Trex Enhance-GRV Pebble Beach 20',1x5.5-20',,
Decking-Composite,Trex Decking,pb010620es64,Trex Enhance-SQ Pebble Beach 20',1x5.5-20',,
Decking-Composite,Trex Decking,pb010816fas,Trex Enhance-Riser Pebble Beach 12',1x8,,
Decking-Composite,Trex Decking,pb011216fas,Trex Enhance-Fascia Pebble Beach 12',1x12,,
Decking-Composite,Trex Decking,pbkenhzbkt,Select Horiz Mounting Hdwr Cutrail-Black,,Trex,
Decking-Composite,Trex Decking,pg010612sg64,Trex Select-GRV Pebble Grey 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,pg010612ss64,Trex Select-SQ Pebble Grey 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,pg010616sg64,Trex Select-GRV Pebble Grey 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,pg010616ss64,Trex Select-SQ Pebble Grey 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,pg010620sg64,Trex Select-GRV Pebble Grey 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,pg010620ss64,Trex Select-SQ Pebble Grey 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,pg010812ss60,Trex Select-Riser Pebble Grey 12',1x8-12',Trex,
Decking-Composite,Trex Decking,pg011212ss40,Trex Select-Facia Pebble Grey 12',1x12-12',Trex,
Decking-Composite,Trex Decking,pg020616ss32,Trex Select-SQ Pebble Grey 16',2x6-16',Trex,
Decking-Composite,Trex Decking,recessled4pkc,LED Recessed Deck Light,,Trex,
Decking-Composite,Trex Decking,rh010612e2g56,Trex Enhance Nat.-GRV Rocky Harbor -12,1x5.5-12,Trex,
Decking-Composite,Trex Decking,rh010612e2s56,Trex Enhance Nat.-SQ Rocky Harbor -12,1x5.5-12,Trex,
Decking-Composite,Trex Decking,rh010616e2g56,Trex Enhance Nat.-GRV Rocky Harbor -16,1x5.5-16,Trex,
Decking-Composite,Trex Decking,rh010616e2s56,Trex Enhance Nat.-SQ Rocky Harbor -16,1x5.5-16,Trex,
Decking-Composite,Trex Decking,rh010620e2g56,Trex Enhance Nat.-GRV Rocky Harbor -20,1x5.5-20,Trex,
Decking-Composite,Trex Decking,rh010620e2s56,Trex Enhance Nat.-SQ Rocky Harbor -20,1x5.5-20,Trex,
Decking-Composite,Trex Decking,rh010812e2s60,Trex Enhance Nat.-Riser Rocky Harbor -12,1x8-12,Trex,
Decking-Composite,Trex Decking,rh011212e2s40,Trex Enhance Nat.-Fcia Rocky Harbor -12,1x12-12,Trex,
Decking-Composite,Trex Decking,rn010612tg48,Trex Transcend Lineage-GRV Rainier 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,rn010616tg48,Trex Transcend Lineage-GRV Rainier 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,rn010616ts48,Trex Transcend Lineage-SQ Rainier 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,rn010620tg48,Trex Transcend Lineage-GRV Rainier 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,rn010620ts48,Trex Transcend Lineage-SQ Rainier 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,rn010812ts60,Trex Transcend Lineage-Riser Rainier 12',1x8-12,Trex,
Decking-Composite,Trex Decking,rn011212ts40,Trex Transcend Lineage-Fcia Rainier 12',1x12-12,Trex,
Decking-Composite,Trex Decking,rs00hgask,Trans. Horiz Gasket-Rope Swing,0 Degree,Trex,
Decking-Composite,Trex Decking,rs00sgask,Trans. Stair Gasket-Rope Swing,0 Degree,Trex,
Decking-Composite,Trex Decking,rs010612t2s48,Trex Transcend G2-SQ Rope Swing 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,rs010612tg48,Trex Transcend-GRV Rope Swing 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,rs010612ts48,Trex Transcend-SQ Rope Swing 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,rs010616t2g48,Transcend G2-Decking-Grv-Rope Swing,1x5.5-16,Trex,
Decking-Composite,Trex Decking,rs010616t2s48,Transcend G2-Decking-Sq-Rope Swing,1x5.5-16,Trex,
Decking-Composite,Trex Decking,rs010616tg48,Trex Transcend-GRV Rope Swing 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,rs010616ts48,Trex Transcend-SQ Rope Swing 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,rs010620t2g48,Transcend G2-Decking-Grv-Rope Swing,1x5.5-20,Trex,
Decking-Composite,Trex Decking,rs010620t2s48,Transcend G2-Decking-Sq-Rope Swing,1x5.5-20,Trex,
Decking-Composite,Trex Decking,rs010620tg48,Trex Transcend-GRV Rope Swing 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,rs010620ts48,Trex Transcend-SQ Rope Swing 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,rs010812t2s60,Trex Transcend-Riser Rope Swing 12',1x8-12,Trex,
Decking-Composite,Trex Decking,rs011212t2s40,Transcend G2-Fascia-Square-Rope Swing,1x12-12,Trex,
Decking-Composite,Trex Decking,rs011212ts40,Trex Transcend-Fcia Rope Swing 12',1x12-12,Trex,
Decking-Composite,Trex Decking,rs020230sbk,Trans. Sq Comp. Blstr-Rope Swing 16/Box,"30.375""",Trex,
Decking-Composite,Trex Decking,rs020236sbk,Trans. Sq Comp. Blstr-Rope Swing 16/Box,"36.375""",Trex,
Decking-Composite,Trex Decking,rs0404108aps,Post Sleeve-Rope Swing,"4x4-108""",Trex,
Decking-Composite,Trex Decking,rs040439aps,Post Sleeve-Rope Swing,4x4-39,Trex,
Decking-Composite,Trex Decking,rs22hgask,Trans. Gasket-Rope Swing,22.5 Degree,Trex,
Decking-Composite,Trex Decking,rs45rsbadapk,Trans. Birdsmouth Gasket-Rope Swing,45 Degree,Trex,
Decking-Composite,Trex Decking,rsasbhik06,Trans. Horiz Sq Alum. Infill-Rope Swing,"67.5""",Trex,
Decking-Composite,Trex Decking,rsasbhik08,Trans. Horiz Sq Alum. Infill-Rope Swing,"91.5""",Trex,
Decking-Composite,Trex Decking,rsasbsik06,Trans. Stair Sq Alum. Infill-Rope Swing,"67.5""",Trex,
Decking-Composite,Trex Decking,rsasbsik08,Trans. Stair Sq Alum. Infill-Rope Swing,"91.5""",Trex,
Decking-Composite,Trex Decking,rscrowntr06,Trans. Crown Top Rail-Rope Swing 1/Box,"67.5""",Trex,
Decking-Composite,Trex Decking,rscrowntr08,Trans. Crown Top Rail-Rope Swing 1/Box,"91.5""",Trex,
Decking-Composite,Trex Decking,rsftblk,Trans. Adjustable Footblock-Rope Swing,,Trex,
Decking-Composite,Trex Decking,rshzaccykit,Trans. Horiz Mnt Hdwr Cutrail-Rope Swing,,Trex,
Decking-Composite,Trex Decking,rspycap4x4,Pyramid Post Cap-Rope Swing,4x4,Trex,
Decking-Composite,Trex Decking,rspyledcap4x4c,LED Post Cap Pyramid-Rope Swing,4x4,Trex,
Decking-Composite,Trex Decking,rsrdhik06,Trans. Horiz Rd Alum. Infill-Rope Swing,"67.5""",Trex,
Decking-Composite,Trex Decking,rsrdhik08,Trans. Horiz Rd Alum. Infill-Rope Swing,"91.5""",Trex,
Decking-Composite,Trex Decking,rsrdsik06,Trans. Stair Rd Alum. Infill-Rope Swing,"67.5""",Trex,
Decking-Composite,Trex Decking,rsrdsik08,Trans. Stair Rd Alum. Infill-Rope Swing,"91.5""",Trex,
Decking-Composite,Trex Decking,rsskirt4x4,Post Skirt-Rope Swing,4x4,Trex,
Decking-Composite,Trex Decking,rssqcap4x4,Flat Post Cap-Rope Swing,4x4,Trex,
Decking-Composite,Trex Decking,rssqhik06,Trans. Horiz Sq Comp. Infill-Rope Swing,"67.5""",Trex,
Decking-Composite,Trex Decking,rssqhik08,Trans. Horiz Sq Comp. Infill-Rope Swing,"91.5""",Trex,
Decking-Composite,Trex Decking,rssqledcap4x4c,LED Post Cap Flat-Rope Swing,4x4,Trex,
Decking-Composite,Trex Decking,rssqsik06,Trans. Stair Sq Comp. Infill-Rope Swing,"67.5""",Trex,
Decking-Composite,Trex Decking,rssqsik08,Trans. Stair Sq Comp. Infill-Rope Swing,"91.5""",Trex,
Decking-Composite,Trex Decking,rsstaccykit,Trans. Stair Mnt Hdwr Cutrail-Rope Swing,,Trex,
Decking-Composite,Trex Decking,rsunivtbr06,Trans. Univ.Top/Btm Rail-Rope Swing,"67.5""",Trex,
Decking-Composite,Trex Decking,rsunivtbr08,Trans. Univ.Top/Btm Rail-Rope Swing,"91.5""",Trex,
Decking-Composite,Trex Decking,sc010612e2g56,Trex Enhance Nat.-GRV Sunset Cove -12,1x5.5-12,Trex,
Decking-Composite,Trex Decking,sc010612e2s56,Trex Enhance Nat.-SQ Sunset Cove -12,1x5.5-12,Trex,
Decking-Composite,Trex Decking,sc010616e2s56,Trex Enhance Nat.-SQ Sunset Cove -16,1x5.5-16,Trex,
Decking-Composite,Trex Decking,sd010612e2g56,Trex Enhance Basic-GRV Saddle 12',1x5.5-12',Trex,
Decking-Composite,Trex Decking,sd010612e2s56,Trex Enhance Basic-SQ Saddle 12',1x5.5-12',Trex,
Decking-Composite,Trex Decking,sd010612sg64,Trex Select-GRV Saddle 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,sd010612ss64,Trex Select-SQ Saddle 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,sd010616e2g56,Trex Enhance Basic-GRV Saddle 16',1x5.5-16',Trex,
Decking-Composite,Trex Decking,sd010616e2s56,Trex Enhance Basic-SQ Saddle 16',1x5.5-16',Trex,
Decking-Composite,Trex Decking,sd010616sg64,Trex Select-GRV Saddle 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,sd010616ss64,Trex Select-SQ Saddle 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,sd010620e2g56,Trex Enhance Basic-GRV Saddle 20',1x5.5-20',Trex,
Decking-Composite,Trex Decking,sd010620e2s56,Trex Enhance Basic-SQ Saddle 20',1x5.5-20',Trex,
Decking-Composite,Trex Decking,sd010620sg64,Trex Select-GRV Saddle 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,sd010620ss64,Trex Select-SQ Saddle 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,sd010812e2s60,Trex Enhance Basic-Riser Saddle 12',1x8-12',Trex,
Decking-Composite,Trex Decking,sd010812ss60,Trex Select-Riser Saddle 12',1x8-12',Trex,
Decking-Composite,Trex Decking,sd011212e2s40,Trex Enhance Basic-Fcia Saddle 12',1x12-12',Trex,
Decking-Composite,Trex Decking,sd011212ss40,Trex Select-Facia Saddle 12',1x12-12',Trex,
Decking-Composite,Trex Decking,sd020616ss32,Select-Decking-Square-Saddle,2x6-16',Trex,
Decking-Composite,Trex Decking,sf010612tg48,Trex Transcend Lineage-GRV Salt Flat,1x5.5-12,Trex,
Decking-Composite,Trex Decking,sf010616tg48,Trex Transcend Lineage-GRV Salt Flat,1x5.5-16,Trex,
Decking-Composite,Trex Decking,sf010616ts48,Trex Transcend Lineage-SQ  Salt Flat,1x5.5-16,Trex,
Decking-Composite,Trex Decking,sf010620tg48,Trex Transcend Lineage-GRV  Salt Flat,1x5.5-20,Trex,
Decking-Composite,Trex Decking,sf010620ts48,Trex Transcend Lineage-SQ  Salt Flat,1x5.5-20,Trex,
Decking-Composite,Trex Decking,sf010812ts60,Trex Transcend Lineage-Riser Salt Flat,1x8-12,Trex,
Decking-Composite,Trex Decking,sf011212ts40,Trex Transcend Lineage-Facia  Salt Flat,1x12-12,Trex,
Decking-Composite,Trex Decking,sigtemp4x4sleeve,"Signature HZ Template 4.5"" Comp Sleeve","36"" & 42""",Trex,
Decking-Composite,Trex Decking,sigtempircpost,"Signature HZ Template 2.5"" Al Post","36"" & 42""",Trex,
Decking-Composite,Trex Decking,sr010516tp60,Trex Transcend-Porch Flr Spiced Rum 16',1x4.5-16,Trex,
Decking-Composite,Trex Decking,sr010612tg48,Trex Transcend-GRV Spiced Rum 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,sr010612ts48,Trex Transcend-SQ Spiced Rum 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,sr010616tg48,Trex Transcend-GRV Spiced Rum 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,sr010616ts48,Trex Transcend-SQ Spiced Rum 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,sr010620tg48,Trex Transcend-GRV Spiced Rum 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,sr010620ts48,Trex Transcend-SQ Spiced Rum 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,sr010812ts60,Trex Transcend-Riser Spiced Rum 12',1x8-12,Trex,
Decking-Composite,Trex Decking,sr011212ts40,Trex Transcend-Fcia Spiced Rum 12',1x12-12,Trex ,
Decking-Composite,Trex Decking,sr020416ts48,Transcend-Decking-Square-Spiced Rum,2x4-16,Trex,
Decking-Composite,Trex Decking,th00hgask,Trans. Horiz Gasket Tree House,0 Degree,Trex,
Decking-Composite,Trex Decking,th00sgask,Trans. Stair Gasket Tree House,0 Degree,Trex,
Decking-Composite,Trex Decking,th010616t2g48,Trex Transcend G2-GRV Tree House 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,th010620t2g48,Trex Transcend G2-GRV Tree House 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,th010620t2s48,Trex Transcend G2-SQ Tree House 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,th010812t2s60,Trex Transcend G2-Riser Tree House 12',1x8-12,Trex,
Decking-Composite,Trex Decking,th011212t2s40,Trex Transcend G2-Fcia Tree House 12',1x12-12,Trex,
Decking-Composite,Trex Decking,th020230sbk,Trans. Sq Comp. Blstr-Tree House 16/Box,"30.375""",Trex,
Decking-Composite,Trex Decking,th020236sbk,Trans. Sq Comp. Blstr-Tree House 16/Box,"36.375""",Trex,
Decking-Composite,Trex Decking,th22hgask,Trans. Gasket Tree House,22.5 Degree,Trex,
Decking-Composite,Trex Decking,thasbhik06,Trans. Horiz Sq Alum. Infill Tree House,"67.5""",Trex,
Decking-Composite,Trex Decking,thasbhik08,Trans. Horiz Sq Alum. Infill Tree House,"91.5""",Trex,
Decking-Composite,Trex Decking,thasbsik06,Trans. Stair Sq Alum. Infill Tree House,"67.5""",Trex,
Decking-Composite,Trex Decking,thasbsik08,Trans. Stair Sq Alum. Infill Tree House,"91.5""",Trex,
Decking-Composite,Trex Decking,thftblk,Trans. Adj. Footblock Tree House,,Trex,
Decking-Composite,Trex Decking,thpycap4x4,Pyramid Post Cap-Tree House,4x4,Trex,
Decking-Composite,Trex Decking,thpyledcap4x4c,LED Post Cap Pyramid-Tree House,4x4,Trex,
Decking-Composite,Trex Decking,thsqhik06,Trans. Horiz Sq Comp. Infill Tree House,"67.5""",Trex,
Decking-Composite,Trex Decking,thsqhik08,Trans. Horiz Sq Comp. Infill Tree House,"91.5""",Trex,
Decking-Composite,Trex Decking,thsqledcap4x4c,LED Post Cap Flat-Tree House,4x4,Trex,
Decking-Composite,Trex Decking,thsqsik06,Trans. Stair Sq Comp. Infill Tree House,"67.5""",Trex,
Decking-Composite,Trex Decking,thsqsik08,Trans. Stair Sq Comp. Infill Tree House,"91.5""",Trex,
Decking-Composite,Trex Decking,tp010612e2g56,Trex Enhance Basic-GRV Tide Pool,1x5.5-12',Trex,
Decking-Composite,Trex Decking,tp010612e2s56,Trex Enhance Basic-SQ Tide Pool,1x5.5-12',Trex,
Decking-Composite,Trex Decking,tp010616e2g56,Trex Enhance Basic-GRV Tide Pool,1x5.5-16',Trex,
Decking-Composite,Trex Decking,tp010616e2s56,Trex Enhance Basic-SQ Tide Pool,1x5.5-16',Trex,
Decking-Composite,Trex Decking,tp010620e2g56,Trex Enhance Basic-GRV Tide Pool,1x5.5-20',Trex,
Decking-Composite,Trex Decking,tp010620e2s56,Trex Enhance Basic-SQ Tide Pool,1x5.5-20',Trex,
Decking-Composite,Trex Decking,tp010812e2s60,Trex Enhance Basic-Riser Tide Pool,1x8-12',Trex,
Decking-Composite,Trex Decking,tp011212e2s40,Trex Enhance Basic-Facia Tide Pool,1x12-12',Trex,
Decking-Composite,Trex Decking,trexfasciatstsan,Trex Enhance-Fcia Snd 12',,,
Decking-Composite,Trex Decking,trexgrv12tstsand,Trex Enhance-GRV Toasted Sand 12',,,
Decking-Composite,Trex Decking,trexgrv16tstsand,Trex Enhance-GRV Toasted Sand 16',,,
Decking-Composite,Trex Decking,trexgrv20tstsand,Trex Enhance-GRV Toasted Sand 20',,,
Decking-Composite,Trex Decking,trexrisertstsand,Trex Enhance-Riser Toasted Sand 12',,,
Decking-Composite,Trex Decking,ts010612e2g56,Trex Enhance Nat.-GRV Toasted Sand -12,1x5.5-12,Trex,
Decking-Composite,Trex Decking,ts010612e2s56,Trex Enhance Nat.-SQ Toasted Sand -12,1x5.5-12,Trex,
Decking-Composite,Trex Decking,ts010616e2g56,Trex Enhance Nat.-GRV Toasted Sand -16,1x5.5-16,Trex,
Decking-Composite,Trex Decking,ts010616e2s56,Trex Enhance Nat.-SQ Toasted Sand -16,1x5.5-16,Trex,
Decking-Composite,Trex Decking,ts010620e2g56,Trex Enhance Nat.-GRV Toasted Sand -20,1x5.5-20,Trex,
Decking-Composite,Trex Decking,ts010620e2s56,Trex Enhance Nat.-SQ Toasted Sand -20,1x5.5-20,Trex,
Decking-Composite,Trex Decking,ts010812e2s60,Trex Enhance Nat.-Riser Toasted Sand -12,1x8-12,Trex,
Decking-Composite,Trex Decking,ts011212e2s40,Trex Enhance Nat.-Fcia Toasted Sand -12,1x12-12,Trex,
Decking-Composite,Trex Decking,tssbracket,Stair RSB Bracket,,Trex,
Decking-Composite,Trex Decking,tt010612tg48,Trex Transcend-GRV Tiki Torch 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,tt010612ts48,Trex Transcend-SQ Tiki Torch 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,tt010616tg48,Trex Transcend-GRV Tiki Torch 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,tt010616ts48,Trex Transcend-SQ Tiki Torch 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,tt010620tg48,Trex Transcend-GRV Tiki Torch 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,tt010620ts48,Trex Transcend-SQ Tiki Torch 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,tt010812ts60,Trex Transcend-Riser Tiki Torch 12',1x8-12,Trex,
Decking-Composite,Trex Decking,tt011212ts40,Trex Transcend-Fcia Tiki Torch 12',1x12-12,Trex,
Decking-Composite,Trex Decking,tt020416ts48,Transcend-Decking-Square-Tiki Torch,2x4-16,Trex,
Decking-Composite,Trex Decking,tt020616ts32,Transcend-Decking-Square-Tiki Torch,2x6-16,Trex,
Decking-Composite,Trex Decking,vl00hgask,Trans. Horiz Gasket-Vintage Lantern,0 Degree,Trex,
Decking-Composite,Trex Decking,vl00Sgask,Trans. Stair Gasket-Vintage Lantern,0 Degree,Trex,
Decking-Composite,Trex Decking,vl010612ts48,Trex Transcend-SQ Vintage Lantern 12',1x5.5-12,Trex,
Decking-Composite,Trex Decking,vl010616tg48,Trex Transcend-GRV Vintage Lantern 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,vl010616ts48,Trex Transcend-SQ Vintage Lantern 16',1x5.5-16,Trex,
Decking-Composite,Trex Decking,vl010620tg48,Trex Transcend-GRV Vintage Lantern 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,vl010620ts48,Trex Transcend-SQ Vintage Lantern 20',1x5.5-20,Trex,
Decking-Composite,Trex Decking,vl010812t2s60,Trex Transcend-Riser Vintage Lantern 12',1x8-12,Trex,
Decking-Composite,Trex Decking,vl011212ts40,Trex Transcend-Fcia Vintage Lantern 12',1x12-12,Trex,
Decking-Composite,Trex Decking,vl020230sbk,Trans. Sq Comp Blstr-Vnt Lantern 16/Box,"30.375""",Trex,
Decking-Composite,Trex Decking,vl020236sbk,Trans. Sq Comp Blstr-Vnt Lantern 16/Box,"36.375""",Trex,
Decking-Composite,Trex Decking,vl020416ts48,Transcend-Deck-Square-Vintage Lantern,2x4-16,Trex,
Decking-Composite,Trex Decking,vl0404108aps,Post Sleeve-Vintage Lantern,"4x4-108""",Trex,
Decking-Composite,Trex Decking,vl040439aps,Post Sleeve-Vintage Lantern,4x4-39,Trex,
Decking-Composite,Trex Decking,vl0636hrk,Trans. Horiz Rail Kit w/Sq Blstr Vnt Lan,"6'x36""",Trex,
Decking-Composite,Trex Decking,vl0836hrk,Trans. Horiz Rail Kit w/Sq Blstr Vnt Lan,"8'x36""",Trex,
Decking-Composite,Trex Decking,vl0836srk,Trans. Stair Rail Kit w/Sq Blstr Vnt Lan,"8'x36""",Trex,
Decking-Composite,Trex Decking,vl22hgask,Trans. Gasket-Vintage Lantern,22.5 Degree,Trex,
Decking-Composite,Trex Decking,vl45rsbadapk,Trans. Birdsmouth Gasket-Vnt Lantern,45 Degree,Trex,
Decking-Composite,Trex Decking,vlasbhik06,Trans. Horiz Sq Alum Infill-Vnt Lantern,"67.5""",Trex,
Decking-Composite,Trex Decking,vlasbhik08,Trans. Horiz Sq Alum Infill-Vnt Lantern,"91.5""",Trex,
Decking-Composite,Trex Decking,vlasbsik06,Trans. Stair Sq Alum Infill-Vnt Lantern,"67.5""",Trex,
Decking-Composite,Trex Decking,vlasbsik08,Trans. Stair Sq Alum Infill-Vnt Lantern,"91.5""",Trex,
Decking-Composite,Trex Decking,vlcrowntr06,Trans. Crown Top Rail Vnt Lantern 1/Box,"67.5""",Trex,
Decking-Composite,Trex Decking,vlcrowntr08,Trans. Crown Top Rail Vnt Lantern 1/Box,"91.5""",Trex,
Decking-Composite,Trex Decking,vlftblk,Trans. Adjustable Footblock-Vnt Lantern,,Trex,
Decking-Composite,Trex Decking,vlhzaccykit,Trans. Horiz Mnt. Hdwr Cutrail-Vnt Lant.,,Trex,
Decking-Composite,Trex Decking,vlpycap4x4,Pyramid Post Cap-Vintage Lantern,4x4,Trex,
Decking-Composite,Trex Decking,vlrd0636hrk,Trans. Horiz Rail Kit w/Rd Blstr Vnt Lan,"6'x36""",Trex,
Decking-Composite,Trex Decking,vlrd0836hrk,Trans. Horiz Rail Kit w/Rd Blstr Vnt Lan,"8'x36""",Trex,
Decking-Composite,Trex Decking,vlrd0836srk,Trans. Stair Rail Kit w/Rd Blstr Vnt Lan,"8'x36""",Trex,
Decking-Composite,Trex Decking,vlrdhik06,Trans. Horiz Rd Alum Infill-Vnt Lantern,"67.5""",Trex,
Decking-Composite,Trex Decking,vlrdhik08,Trans. Horiz Rd Alum Infill-Vnt Lantern,"91.5""",Trex,
Decking-Composite,Trex Decking,vlrdsik06,Trans. Stair Rd Alum Infill-Vnt Lantern,"67.5""",Trex,
Decking-Composite,Trex Decking,vlrdsik08,Trans. Stair Rd Alum Infill-Vnt Lantern,"91.5""",Trex,
Decking-Composite,Trex Decking,vlskirt4x4,Post Skirt-Vintage Lantern,4x4,Trex,
Decking-Composite,Trex Decking,vlsqcap4x4,Flat Post Cap-Vintage Lantern,4x4,Trex,
Decking-Composite,Trex Decking,vlsqhik06,Trans. Horiz Sq Comp Infill-Vnt Lantern,"67.5""",Trex,
Decking-Composite,Trex Decking,vlsqhik08,Trans. Horiz Sq Comp Infill-Vnt Lantern,"91.5""",Trex,
Decking-Composite,Trex Decking,vlsqledcap4x4c,LED Post Cap Flat-Vintage Lantern,4x4,Trex,
Decking-Composite,Trex Decking,vlsqsik06,Trans. Stair Sq Comp Infill-Vnt Lantern,"67.5""",Trex,
Decking-Composite,Trex Decking,vlsqsik08,Trans. Stair Sq Comp Infill-Vnt Lantern,"91.5""",Trex,
Decking-Composite,Trex Decking,vlstaccykit,Trans. Stair Mnt. Hdwr Cutrail-Vnt Lant.,,Trex,
Decking-Composite,Trex Decking,vlunivtbr06,Trans. Univ.l Top/Btm Rail Vnt Lantern,"67.5""",Trex,
Decking-Composite,Trex Decking,vlunivtbr08,Trans. Univ. Top/Btm Rail Vnt Lantern,"91.5""",Trex,
Decking-Composite,Trex Decking,wb010612ss64,Trex Select-SQ Woodland Brown 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,wb010616ss64,Trex Select-SQ Woodland Brown 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,wb010620sg64,Trex Select-GRV Woodland Brown 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,wb010620ss64,Trex Select-SQ Woodland Brown 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,wb010812ss60,Trex Select-Riser Woodland Brown 12',1x8-12',Trex,
Decking-Composite,Trex Decking,wb011212ss40,Trex Select-Fcia Woodland Brown 12',1x12-12',Trex,
Decking-Composite,Trex Decking,wb020616ss32,Select-Decking-Square-Woodland Brown,2x6-16',Trex,
Decking-Composite,Trex Decking,wg010612sg64,Trex Select-GRV Winchester Grey 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,wg010612ss64,Trex Select-SQ Winchester Grey 12',7/8x5.5-12',Trex,
Decking-Composite,Trex Decking,wg010616sg64,Trex Select-GRV Winchester Grey 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,wg010616ss64,Trex Select-SQ Winchester Grey 16',7/8x5.5-16',Trex,
Decking-Composite,Trex Decking,wg010620sg64,Trex Select-GRV Winchester Grey 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,wg010620ss64,Trex Select-SQ Winchester Grey 20',7/8x5.5-20',Trex,
Decking-Composite,Trex Decking,wg010812ss60,Trex Select-Riser Winchester Grey 12',1x8-12',Trex,
Decking-Composite,Trex Decking,wg011212ss40,Trex Select-Fcia Winchester Grey 12',1x12-12',Trex,
